,amenity_type,coordinates,county
356,Restaurant,"(-97.41560021859681, 30.111340729212156)",Bastrop
357,Restaurant,"(-97.30902210687566, 30.104172448407795)",Bastrop
358,Restaurant,"(-97.3269649842267, 30.104252764262903)",Bastrop
359,Restaurant,"(-97.30884213536602, 30.105813849559073)",Bastrop
360,Restaurant,"(-97.33889773110978, 30.107839786907743)",Bastrop
361,Restaurant,"(-97.33520033225443, 30.10645090424387)",Bastrop
362,Restaurant,"(-97.33443599815148, 30.106318296494276)",Bastrop
363,Restaurant,"(-97.30632905775738, 30.11005418375662)",Bastrop
364,Restaurant,"(-97.31446988665823, 30.126085681995242)",Bastrop
365,Restaurant,"(-97.3143192, 30.128428499999995)",Bastrop
366,Restaurant,"(-97.35233839609285, 30.111963331726944)",Bastrop
367,Restaurant,"(-97.31420777479333, 30.110786309077632)",Bastrop
368,Restaurant,"(-97.39421732053539, 30.351397170558606)",Bastrop
369,Restaurant,"(-97.38244301286237, 30.34572245741517)",Bastrop
370,Restaurant,"(-97.33295993318866, 30.109274912362178)",Bastrop
371,Restaurant,"(-97.35497465766825, 30.110417211940632)",Bastrop
372,Restaurant,"(-97.32445462890054, 30.105549709036445)",Bastrop
373,Fire_station,"(-97.346968, 29.8862668)",Bastrop
374,Fire_station,"(-97.3717231077285, 30.34877740017656)",Bastrop
375,Fire_station,"(-97.16240460000002, 30.009327950000003)",Bastrop
376,Fire_station,"(-97.296871, 29.93168145)",Bastrop
377,Fire_station,"(-97.28710916847388, 30.100732168473137)",Bastrop
378,Fire_station,"(-97.31855770744205, 30.11084992470876)",Bastrop
379,Fire_station,"(-97.23653358238317, 30.28603282051083)",Bastrop
686,Hospital,"(-98.43843031195314, 29.34459822878309)",Bexar
687,Hospital,"(-98.45786596118113, 29.3544634565705)",Bexar
688,Hospital,"(-98.45388265037167, 29.355359364934337)",Bexar
689,Hospital,"(-98.45958048732763, 29.36112054902645)",Bexar
690,Hospital,"(-98.43828262295715, 29.60319195396964)",Bexar
691,Hospital,"(-98.44514630676126, 29.57654132580909)",Bexar
692,Hospital,"(-98.42881074857023, 29.519686058724613)",Bexar
693,Hospital,"(-98.34813083292538, 29.552786819569736)",Bexar
694,Hospital,"(-98.45486005710907, 29.680814546680764)",Bexar
695,Hospital,"(-98.41563919140006, 29.460643907057893)",Bexar
696,Hospital,"(-98.5330399, 29.3521004)",Bexar
697,Hospital,"(-98.5477659, 29.4027685)",Bexar
698,Hospital,"(-98.49912962434966, 29.42810532224468)",Bexar
699,Hospital,"(-98.5023821111395, 29.431064670424494)",Bexar
700,Hospital,"(-98.48948427506568, 29.425618998272824)",Bexar
701,Hospital,"(-98.49259265000002, 29.433660200000002)",Bexar
702,Hospital,"(-98.54504460455868, 29.353291801759937)",Bexar
703,Hospital,"(-98.62266034853475, 29.39971192657997)",Bexar
704,Hospital,"(-98.52888073241046, 29.421909494232246)",Bexar
705,Hospital,"(-98.57546634395958, 29.40824471631645)",Bexar
706,Hospital,"(-98.55020135409137, 29.35375945087256)",Bexar
707,Hospital,"(-98.572054, 29.507212)",Bexar
708,Hospital,"(-98.4734443, 29.5879659)",Bexar
709,Hospital,"(-98.5679059, 29.5236156)",Bexar
710,Hospital,"(-98.6973389, 29.4531675)",Bexar
711,Hospital,"(-98.6995669, 29.4530358)",Bexar
712,Hospital,"(-98.6899761, 29.4618306)",Bexar
713,Hospital,"(-98.5841111, 29.5274279)",Bexar
714,Hospital,"(-98.57189161311813, 29.508325368387503)",Bexar
715,Hospital,"(-98.57514315998712, 29.512524640745397)",Bexar
716,Hospital,"(-98.57637557709498, 29.51415135729803)",Bexar
717,Hospital,"(-98.58936285896118, 29.51238972991081)",Bexar
718,Hospital,"(-98.58063539870355, 29.50591580795098)",Bexar
719,Hospital,"(-98.58693491731587, 29.513984889712287)",Bexar
720,Hospital,"(-98.57632052350188, 29.519580768161603)",Bexar
721,Hospital,"(-98.58001514010833, 29.512946205789277)",Bexar
722,Hospital,"(-98.69673441558952, 29.46663580881387)",Bexar
723,Hospital,"(-98.49158963006488, 29.44103637770441)",Bexar
724,Hospital,"(-98.47491202280699, 29.61609885594139)",Bexar
725,Hospital,"(-98.47672394513863, 29.505968256147387)",Bexar
726,Hospital,"(-98.64906952832833, 29.57090710738701)",Bexar
727,Hospital,"(-98.54745740781951, 29.49012342992906)",Bexar
728,Hospital,"(-98.47761265306542, 29.613663386293567)",Bexar
729,Hospital,"(-98.55642448714714, 29.52204525740304)",Bexar
730,Hospital,"(-98.59035775, 29.590765349999998)",Bexar
731,Hospital,"(-98.57854470426352, 29.50822322428879)",Bexar
732,Hospital,"(-98.59505699968996, 29.52727520838652)",Bexar
733,Hospital,"(-98.58975617494838, 29.526811623992344)",Bexar
734,Hospital,"(-98.49149878083459, 29.620672603610224)",Bexar
735,Hospital,"(-98.59037287699907, 29.530617933549138)",Bexar
736,Hospital,"(-98.492496378174, 29.62820243308747)",Bexar
737,Hospital,"(-98.68459703287643, 29.451894571422613)",Bexar
738,Parking,"(-98.39307176731528, 29.5061783560478)",Bexar
739,Parking,"(-98.45675735069456, 29.51506108700855)",Bexar
740,Parking,"(-98.44950023620912, 29.514983118987796)",Bexar
741,Parking,"(-98.43583440053506, 29.51484567748856)",Bexar
742,Parking,"(-98.48876507158543, 29.423577957868694)",Bexar
743,Parking,"(-98.49588193067366, 29.422441042703397)",Bexar
744,Parking,"(-98.49011584827228, 29.426166164448016)",Bexar
745,Parking,"(-98.48765476134233, 29.426096031725944)",Bexar
746,Parking,"(-98.49072678377132, 29.42401292629411)",Bexar
747,Parking,"(-98.49104162071028, 29.427331543553187)",Bexar
748,Parking,"(-98.48100715336817, 29.426128459963603)",Bexar
749,Parking,"(-98.4940293255228, 29.42152049633151)",Bexar
750,Parking,"(-98.47933482086651, 29.437441684038102)",Bexar
751,Parking,"(-98.4960611128272, 29.42201966506895)",Bexar
752,Parking,"(-98.49293230001196, 29.43156861151415)",Bexar
753,Parking,"(-98.48710437982454, 29.43011604376913)",Bexar
754,Parking,"(-98.49553328635469, 29.42700954485552)",Bexar
755,Parking,"(-98.62205180132993, 29.400964627247596)",Bexar
756,Parking,"(-98.4951158527431, 29.42105411858758)",Bexar
757,Parking,"(-98.48681383367108, 29.419116348021777)",Bexar
758,Parking,"(-98.49435916205037, 29.42016419607687)",Bexar
759,Parking,"(-98.48506422854153, 29.432432676725345)",Bexar
